Sigla,Código,Município,1998
BA,2912301,Ibicuí,-14.8416666667
BA,2912400,Ibipeba,-11.6408333333
BA,2912509,Ibipitanga,-12.8822222222
BA,2912608,Ibiquera,-12.6511111111
BA,2912707,Ibirapitanga,-14.1641666667
BA,2912806,Ibirapuã,-17.6877777778
BA,2912905,Ibirataia,-14.0669444444
BA,2913002,Ibitiara,-12.6522222222
BA,2913101,Ibititá,-11.5472222222
BA,2913200,Ibotirama,-12.1852777778
BA,2913309,Ichu,-11.7486111111
BA,2913408,Igaporã,-13.7733333333
BA,2913457,Igrapiúna,-13.8263888889
BA,2913507,Iguaí,-14.7563888889
BA,2913606,Ilhéus,-14.7888888889
BA,2913705,Inhambupe,-11.7844444444
BA,2913804,Ipecaetá,-12.3
BA,2913903,Ipiaú,-14.1372222222
BA,2914000,Ipirá,-12.1583333333
BA,2914109,Ipupiara,-11.8202777778
BA,2914208,Irajuba,-13.2513888889
BA,2914307,Iramaia,-13.2855555556
BA,2914406,Iraquara,-12.2486111111
BA,2914505,Irará,-12.05
BA,2914604,Irecê,-11.3041666667
BA,2914653,Itabela,-16.575
BA,2914703,Itaberaba,-12.5275
BA,2914802,Itabuna,-14.7855555556
BA,2914901,Itacaré,-14.2775
BA,2915007,Itaeté,-12.9863888889
BA,2915106,Itagi,-14.1627777778
BA,2915205,Itagibá,-14.2836111111
BA,2915304,Itagimirim,-16.0866666667
BA,2915353,Itaguaçu da Bahia,-11.0116666667
BA,2915403,Itaju do Colônia,-15.1425
BA,2915502,Itajuípe,-14.6780555556
BA,2915601,Itamaraju,-17.0391666667
BA,2915700,Itamari,-13.7780555556
BA,2915809,Itambé,-15.245
BA,2915908,Itanagra,-12.2630555556
BA,2916005,Itanhém,-17.1663888889
BA,2916104,Itaparica,-12.8883333333
BA,2916203,Itapé,-14.8983333333
BA,2916302,Itapebi,-15.9508333333
BA,2916401,Itapetinga,-15.2488888889
BA,2916500,Itapicuru,-11.3166666667
BA,2916609,Itapitanga,-14.4227777778
BA,2916708,Itaquara,-13.4508333333
BA,2916807,Itarantim,-15.6597222222
BA,2916856,Itatim,-12.7119444444
BA,2916906,Itiruçu,-13.5316666667
BA,2917003,Itiúba,-10.6916666667
BA,2917102,Itororó,-15.1169444444
BA,2917201,Ituaçu,-13.8133333333
BA,2917300,Ituberá,-13.7322222222
BA,2917334,Iuiú,-14.4138888889
BA,2917359,Jaborandi,-13.6194444444
BA,2917409,Jacaraci,-14.8497222222
BA,2917508,Jacobina,-11.1805555556
BA,2917607,Jaguaquara,-13.5305555556
BA,2917706,Jaguarari,-10.2638888889
BA,2917805,Jaguaripe,-13.1133333333
BA,2917904,Jandaíra,-11.5641666667
BA,2918001,Jequié,-13.8575
BA,2918100,Jeremoabo,-10.075
BA,2918209,Jiquiriçá,-13.2566666667
BA,2918308,Jitaúna,-14.0188888889
BA,2918357,João Dourado,-11.3497222222
BA,2918407,Juazeiro,-9.4116666667
BA,2918456,Jucuruçu,-16.8427777778
BA,2918506,Jussara,-11.0469444444
BA,2918555,Jussari,-15.1913888889
BA,2918605,Jussiape,-13.5166666667
BA,2918704,Lafaiete Coutinho,-13.6558333333
BA,2918753,Lagoa Real,-14.0347222222
BA,2918803,Laje,-13.1822222222
BA,2918902,Lajedão,-17.6136111111
BA,2919009,Lajedinho,-12.3558333333
BA,2919058,Lajedo do Tabocal,-13.475
BA,2919108,Lamarão,-11.7833333333
BA,2919157,Lapão,-11.3833333333
BA,2919207,Lauro de Freitas,-12.8944444444
BA,2919306,Lençóis,-12.5630555556
BA,2919405,Licínio de Almeida,-14.6822222222
BA,2919504,Livramento de Nossa Senhora,-13.6430555556
BA,2919553,Luís Eduardo Magalhães,
BA,2919603,Macajuba,-12.1361111111
BA,2919702,Macarani,-15.5683333333
BA,2919801,Macaúbas,-13.0194444444
BA,2919900,Macururé,-9.1675
BA,2919926,Madre de Deus,-12.7408333333
BA,2919959,Maetinga,-14.6633333333
BA,2920007,Maiquinique,-15.6211111111
BA,2920106,Mairi,-11.7113888889
BA,2920205,Malhada,-14.3361111111
BA,2920304,Malhada de Pedras,-14.3880555556
BA,2920403,Manoel Vitorino,-14.1452777778
BA,2920452,Mansidão,-10.7163888889
BA,2920502,Maracás,-13.4411111111
BA,2920601,Maragogipe,-12.7777777778
BA,2920700,Maraú,-14.1030555556
BA,2920809,Marcionílio Souza,-13.0030555556
BA,2920908,Mascote,-15.5630555556
BA,2921005,Mata de São João,-12.5302777778
BA,2921054,Matina,-13.9094444444
BA,2921104,Medeiros Neto,-17.3738888889
BA,2921203,Miguel Calmon,-11.4288888889
BA,2921302,Milagres,-12.87
BA,2921401,Mirangaba,-10.9544444444
BA,2921450,Mirante,-14.2419444444
BA,2921500,Monte Santo,-10.4377777778
BA,2921609,Morpará,-11.5586111111
BA,2921708,Morro do Chapéu,-11.55
BA,2921807,Mortugaba,-15.0233333333
BA,2921906,Mucugê,-13.0052777778
BA,2922003,Mucuri,-18.0863888889
BA,2922052,Mulungu do Morro,-11.9661111111
BA,2922102,Mundo Novo,-11.8588888889
BA,2922201,Muniz Ferreira,-13.0027777778
BA,2922250,Muquém de São Francisco,-12.1986111111
BA,2922300,Muritiba,-12.6263888889
BA,2922409,Mutuípe,-13.2286111111
BA,2922508,Nazaré,-13.035
BA,2922607,Nilo Peçanha,-13.5994444444
BA,2922656,Nordestina,-10.8225
BA,2922706,Nova Canaã,-14.7941666667
BA,2922730,Nova Fátima,-11.6072222222
BA,2922755,Nova Ibiá,-13.81
BA,2922805,Nova Itarana,-13.0269444444
BA,2922854,Nova Redenção,-12.8186111111
BA,2922904,Nova Soure,-11.2333333333
BA,2923001,Nova Viçosa,-17.8919444444
BA,2923035,Novo Horizonte,-12.8083333333
BA,2923050,Novo Triunfo,-10.3222222222
BA,2923100,Olindina,-11.3666666667
BA,2923209,Oliveira dos Brejinhos,-12.3169444444
BA,2923308,Ouriçangas,-12.0166666667
BA,2923357,Ourolândia,-10.9702777778
BA,2923407,Palmas de Monte Alto,-14.2672222222
BA,2923506,Palmeiras,-12.5288888889
BA,2923605,Paramirim,-13.4425
BA,2923704,Paratinga,-12.6905555556
BA,2923803,Paripiranga,-10.6875
BA,2923902,Pau Brasil,-15.4641666667
BA,2924009,Paulo Afonso,-9.4061111111
BA,2924058,Pé de Serra,-11.8338888889
BA,2924108,Pedrão,-12.15
BA,2924207,Pedro Alexandre,-10.0136111111
BA,2924306,Piatã,-13.1519444444
BA,2924405,Pilão Arcado,-10.0030555556
BA,2924504,Pindaí,-14.4925
BA,2924603,Pindobaçu,-10.7416666667
BA,2924652,Pintadas,-11.8125
BA,2924678,Piraí do Norte,-13.7619444444
BA,2924702,Piripá,-14.94
BA,2924801,Piritiba,-11.7302777778
BA,2924900,Planaltino,-13.2588888889
BA,2925006,Planalto,-14.6697222222
BA,2925105,Poções,-14.5297222222
BA,2925204,Pojuca,-12.4305555556
BA,2925253,Ponto Novo,-10.8627777778
BA,2925303,Porto Seguro,-16.4497222222
BA,2925402,Potiraguá,-15.5947222222
BA,2925501,Prado,-17.3411111111
BA,2925600,Presidente Dutra,-11.2961111111
BA,2925709,Presidente Jânio Quadros,-14.6894444444
BA,2925758,Presidente Tancredo Neves,-13.4486111111
BA,2925808,Queimadas,-10.9783333333
BA,2925907,Quijingue,-10.7525
BA,2925931,Quixabeira,-11.4116666667
BA,2925956,Rafael Jambeiro,-12.4083333333
BA,2926004,Remanso,-9.6216666667
BA,2926103,Retirolândia,-11.495
BA,2926202,Riachão das Neves,-11.7461111111
BA,2926301,Riachão do Jacuípe,-11.8069444444
BA,2926400,Riacho de Santana,-13.6091666667
BA,2926509,Ribeira do Amparo,-11.0472222222
BA,2926608,Ribeira do Pombal,-10.8344444444
BA,2926657,Ribeirão do Largo,-15.4591666667
BA,2926707,Rio de Contas,-13.5788888889
BA,2926806,Rio do Antônio,-14.4113888889
BA,2926905,Rio do Pires,-13.1277777778
BA,2927002,Rio Real,-11.4847222222
BA,2927101,Rodelas,-8.8455555556
BA,2927200,Ruy Barbosa,-12.2838888889
BA,2927309,Salinas da Margarida,-12.8711111111
BA,2927408,Salvador,-12.9711111111
BA,2927507,Santa Bárbara,-11.9583333333
BA,2927606,Santa Brígida,-9.7361111111
BA,2927705,Santa Cruz Cabrália,-16.2780555556
BA,2927804,Santa Cruz da Vitória,-14.9611111111
BA,2927903,Santa Inês,-13.2922222222
BA,2928000,Santaluz,-11.2558333333
BA,2928059,Santa Luzia,-15.4294444444
BA,2928109,Santa Maria da Vitória,-13.3947222222
BA,2928208,Santana,-12.9833333333
BA,2928307,Santanópolis,-12.0166666667
BA,2928406,Santa Rita de Cássia,-11.0086111111
BA,2928505,Santa Teresinha,-12.7719444444
BA,2928604,Santo Amaro,-12.5466666667
BA,2928703,Santo Antônio de Jesus,-12.9688888889
BA,2928802,Santo Estêvão,-12.4302777778
BA,2928901,São Desidério,-12.3633333333
BA,2928950,São Domingos,-11.4655555556
BA,2929008,São Félix,-12.6047222222
BA,2929057,São Félix do Coribe,-13.4005555556
BA,2929107,São Felipe,-12.8472222222
BA,2929206,São Francisco do Conde,-12.6275
BA,2929255,São Gabriel,-11.2291666667
BA,2929305,São Gonçalo dos Campos,-12.4333333333
BA,2929354,São José da Vitória,-15.0844444444
BA,2929370,São José do Jacuípe,-11.5038888889
BA,2929404,São Miguel das Matas,-13.0477777778
BA,2929503,São Sebastião do Passé,-12.5125
BA,2929602,Sapeaçu,-12.7275
BA,2929701,Sátiro Dias,-11.6
BA,2929750,Saubara,-12.7375
BA,2929800,Saúde,-10.9411111111
BA,2929909,Seabra,-12.4186111111
BA,2930006,Sebastião Laranjeiras,-14.5730555556
BA,2930105,Senhor do Bonfim,-10.4613888889
BA,2930154,Serra do Ramalho,-13.5625
BA,2930204,Sento Sé,-9.7458333333
BA,2930303,Serra Dourada,-12.7611111111
BA,2930402,Serra Preta,-12.1602777778
BA,2930501,Serrinha,-11.6641666667
BA,2930600,Serrolândia,-11.4158333333
BA,2930709,Simões Filho,-12.7844444444
BA,2930758,Sítio do Mato,-13.0847222222
BA,2930766,Sítio do Quinto,-10.35
BA,2930774,Sobradinho,-9.4552777778
BA,2930808,Souto Soares,-12.0886111111
BA,2930907,Tabocas do Brejo Velho,-12.7058333333
BA,2931004,Tanhaçu,-14.0213888889
BA,2931053,Tanque Novo,-13.5463888889
BA,2931103,Tanquinho,-11.9786111111
BA,2931202,Taperoá,-13.5380555556
BA,2931301,Tapiramutá,-11.8472222222
BA,2931350,Teixeira de Freitas,-17.535
BA,2931400,Teodoro Sampaio,-12.2933333333
BA,2931509,Teofilândia,-11.4886111111
BA,2931608,Teolândia,-13.6016666667
BA,2931707,Terra Nova,-12.3916666667
BA,2931806,Tremedal,-14.9758333333
BA,2931905,Tucano,-10.9630555556
BA,2932002,Uauá,-9.8413888889
BA,2932101,Ubaíra,-13.2680555556
BA,2932200,Ubaitaba,-14.3125
BA,2932309,Ubatã,-14.2138888889
BA,2932408,Uibaí,-11.3369444444
BA,2932457,Umburanas,-10.7327777778
BA,2932507,Una,-15.2933333333
BA,2932606,Urandi,-14.7713888889
BA,2932705,Uruçuca,-14.5930555556
BA,2932804,Utinga,-12.0816666667
BA,2932903,Valença,-13.3702777778
BA,2933000,Valente,-11.4122222222
BA,2933059,Várzea da Roça,-11.6066666667
BA,2933109,Várzea do Poço,-11.5291666667
BA,2933158,Várzea Nova,-11.2586111111
BA,2933174,Varzedo,-12.9716666667
BA,2933208,Vera Cruz,-12.9602777778
BA,2933257,Vereda,-17.2225
BA,2933307,Vitória da Conquista,-14.8661111111
BA,2933406,Wagner,-12.2869444444
BA,2933455,Wanderley,-12.12
BA,2933505,Wenceslau Guimarães,-13.6869444444
BA,2933604,Xique-Xique,-10.8216666667
BA,2999919,Trancoso,
BA,2999929,Barcellos,
BA,2999939,Olivença,
BA,2999949,Villa Verde,
CE,2300101,Abaiara,-7.3588888889
CE,2300150,Acarapé,-4.2241666667
CE,2300200,Acaraú,-2.8855555556
CE,2300309,Acopiara,-6.0952777778
CE,2300408,Aiuaba,-6.5736111111
CE,2300507,Alcântaras,-3.5888888889
CE,2300606,Altaneira,-7.0016666667
CE,2300705,Alto Santo,-5.5208333333
CE,2300754,Amontada,-3.4944444444
CE,2300804,Antonina do Norte,-6.775
CE,2300903,Apuiarés,-3.9488888889
CE,2301000,Aquiraz,-3.9013888889
