Sigla,Código,Município,1998
BA,2900504,Érico Cardoso,42.1402777778
BA,2900603,Aiquara,39.8877777778
BA,2900702,Alagoinhas,38.4191666667
BA,2900801,Alcobaça,39.1955555556
BA,2900900,Almadina,39.6372222222
BA,2901007,Amargosa,39.6047222222
BA,2901106,Amélia Rodrigues,38.7566666667
BA,2901155,América Dourada,41.4361111111
BA,2901205,Anagé,41.1355555556
BA,2901304,Andaraí,41.3313888889
BA,2901353,Andorinha,39.8355555556
BA,2901403,Angical,44.6944444444
BA,2901502,Anguera,39.2463888889
BA,2901601,Antas,38.3333333333
BA,2901700,Antônio Cardoso,39.1197222222
BA,2901809,Antônio Gonçalves,40.2752777778
BA,2901908,Aporá,38.0813888889
BA,2901957,Apuarema,39.7438888889
BA,2902005,Aracatu,41.4619444444
BA,2902054,Araças,38.2025
BA,2902104,Araci,38.9666666667
BA,2902203,Aramari,38.4991666667
BA,2902252,Arataca,39.4144444444
BA,2902302,Aratuípe,39.0016666667
BA,2902401,Aurelino Leal,39.3272222222
BA,2902500,Baianópolis,44.5347222222
BA,2902609,Baixa Grande,40.1680555556
BA,2902658,Banzaê,38.6147222222
BA,2902708,Barra,43.1416666667
BA,2902807,Barra da Estiva,41.3269444444
BA,2902906,Barra do Choça,40.5794444444
BA,2903003,Barra do Mendes,42.0586111111
BA,2903102,Barra do Rocha,39.6019444444
BA,2903201,Barreiras,44.99
BA,2903235,Barro Alto,41.9116666667
BA,2903276,Barrocas,
BA,2903300,Governador Lomanto Júnior,39.4713888889
BA,2903409,Belmonte,38.8827777778
BA,2903508,Belo Campo,41.2597222222
BA,2903607,Biritinga,38.8
BA,2903706,Boa Nova,40.2075
BA,2903805,Boa Vista do Tupim,40.6091666667
BA,2903904,Bom Jesus da Lapa,43.4180555556
BA,2903953,Bom Jesus da Serra,40.5052777778
BA,2904001,Boninal,41.8275
BA,2904050,Bonito,41.2658333333
BA,2904100,Boquira,42.7305555556
BA,2904209,Botuporã,42.5225
BA,2904308,Brejões,39.7958333333
BA,2904407,Brejolândia,43.9663888889
BA,2904506,Brotas de Macaúbas,42.6258333333
BA,2904605,Brumado,41.6652777778
BA,2904704,Buerarema,39.2997222222
BA,2904753,Buritirama,43.6305555556
BA,2904803,Caatiba,40.4075
BA,2904852,Cabaceiras do Paraguaçu,39.1908333333
BA,2904902,Cachoeira,38.9558333333
BA,2905008,Caculé,42.2222222222
BA,2905107,Caém,40.4352777778
BA,2905156,Caetanos,40.9086111111
BA,2905206,Caetité,42.475
BA,2905305,Cafarnaum,41.4683333333
BA,2905404,Cairu,39.0438888889
BA,2905503,Caldeirão Grande,40.3027777778
BA,2905602,Camacan,39.4958333333
BA,2905701,Camaçari,38.3241666667
BA,2905800,Camamu,39.1038888889
BA,2905909,Campo Alegre de Lourdes,43.0111111111
BA,2906006,Campo Formoso,40.3213888889
BA,2906105,Canápolis,44.2022222222
BA,2906204,Canarana,41.7688888889
BA,2906303,Canavieiras,38.9472222222
BA,2906402,Candeal,39.1191666667
BA,2906501,Candeias,38.5505555556
BA,2906600,Candiba,42.8672222222
BA,2906709,Cândido Sales,41.2391666667
BA,2906808,Cansanção,39.4991666667
BA,2906824,Canudos,39.0263888889
BA,2906857,Capela do Alto Alegre,39.8377777778
BA,2906873,Capim Grosso,40.0127777778
BA,2906899,Caraíbas,41.2591666667
BA,2906907,Caravelas,39.2658333333
BA,2907004,Cardeal da Silva,37.9486111111
BA,2907103,Carinhanha,43.765
BA,2907202,Casa Nova,40.9708333333
BA,2907301,Castro Alves,39.4283333333
BA,2907400,Catolândia,44.8611111111
BA,2907509,Catu,38.3788888889
BA,2907558,Caturama,42.2905555556
BA,2907608,Central,42.1127777778
BA,2907707,Chorrochó,39.0963888889
BA,2907806,Cícero Dantas,38.3833333333
BA,2907905,Cipó,38.5136111111
BA,2908002,Coaraci,39.5511111111
BA,2908101,Cocos,44.5344444444
BA,2908200,Conceição da Feira,38.9986111111
BA,2908309,Conceição do Almeida,39.17
BA,2908408,Conceição do Coité,39.2827777778
BA,2908507,Conceição do Jacuípe,38.7666666667
BA,2908606,Conde,37.6105555556
BA,2908705,Condeúba,41.9686111111
BA,2908804,Contendas do Sincorá,41.0411111111
BA,2908903,Coração de Maria,38.75
BA,2909000,Cordeiros,41.9347222222
BA,2909109,Coribe,44.4544444444
BA,2909208,Coronel João Sá,37.9263888889
BA,2909307,Correntina,44.6366666667
BA,2909406,Cotegipe,44.2577777778
BA,2909505,Cravolândia,39.815
BA,2909604,Crisópolis,38.15
BA,2909703,Cristópolis,44.4208333333
BA,2909802,Cruz das Almas,39.1019444444
BA,2909901,Curaçá,39.9094444444
BA,2910008,Dário Meira,39.9077777778
BA,2910057,Dias d'Ávila,38.2969444444
BA,2910107,Dom Basílio,41.7713888889
BA,2910206,Dom Macedo Costa,39.1925
BA,2910305,Elísio Medrado,39.5216666667
BA,2910404,Encruzilhada,40.9094444444
BA,2910503,Entre Rios,38.0844444444
BA,2910602,Esplanada,37.945
BA,2910701,Euclides da Cunha,39.0158333333
BA,2910727,Eunápolis,39.5802777778
BA,2910750,Fátima,38.2166666667
BA,2910776,Feira da Mata,44.2811111111
BA,2910800,Feira de Santana,38.9666666667
BA,2910859,Filadélfia,40.1319444444
BA,2910909,Firmino Alves,39.9236111111
BA,2911006,Floresta Azul,39.6597222222
BA,2911105,Formosa do Rio Preto,45.1930555556
BA,2911204,Gandu,39.4866666667
BA,2911253,Gavião,39.7838888889
BA,2911303,Gentio do Ouro,42.5027777778
BA,2911402,Glória,38.2547222222
BA,2911501,Gongogi,39.4647222222
BA,2911600,Governador Mangabeira,39.0433333333
BA,2911659,Guajeru,41.9402777778
BA,2911709,Guanambi,42.7813888889
BA,2911808,Guaratinga,39.7827777778
BA,2911857,Heliópolis,38.2861111111
BA,2911907,Iaçu,40.2116666667
BA,2912004,Ibiassucê,42.2569444444
BA,2912103,Ibicaraí,39.5875
BA,2912202,Ibicoara,41.2847222222
BA,2912301,Ibicuí,39.9866666667
BA,2912400,Ibipeba,42.0111111111
BA,2912509,Ibipitanga,42.4858333333
BA,2912608,Ibiquera,40.9336111111
BA,2912707,Ibirapitanga,39.3736111111
BA,2912806,Ibirapuã,40.1091666667
BA,2912905,Ibirataia,39.6405555556
BA,2913002,Ibitiara,42.2177777778
BA,2913101,Ibititá,41.9775
BA,2913200,Ibotirama,43.2205555556
BA,2913309,Ichu,39.1922222222
BA,2913408,Igaporã,42.7141666667
BA,2913457,Igrapiúna,39.1422222222
BA,2913507,Iguaí,40.0891666667
BA,2913606,Ilhéus,39.0494444444
BA,2913705,Inhambupe,38.3530555556
BA,2913804,Ipecaetá,39.3075
BA,2913903,Ipiaú,39.7338888889
BA,2914000,Ipirá,39.7372222222
BA,2914109,Ipupiara,42.6141666667
BA,2914208,Irajuba,40.0844444444
BA,2914307,Iramaia,40.9511111111
BA,2914406,Iraquara,41.6194444444
BA,2914505,Irará,38.7666666667
BA,2914604,Irecê,41.8558333333
BA,2914653,Itabela,39.5533333333
BA,2914703,Itaberaba,40.3069444444
BA,2914802,Itabuna,39.2802777778
BA,2914901,Itacaré,38.9966666667
BA,2915007,Itaeté,40.9725
BA,2915106,Itagi,40.0061111111
BA,2915205,Itagibá,39.8427777778
BA,2915304,Itagimirim,39.6144444444
BA,2915353,Itaguaçu da Bahia,42.3994444444
BA,2915403,Itaju do Colônia,39.7244444444
BA,2915502,Itajuípe,39.375
BA,2915601,Itamaraju,39.5311111111
BA,2915700,Itamari,39.6836111111
BA,2915809,Itambé,40.6244444444
BA,2915908,Itanagra,38.0416666667
BA,2916005,Itanhém,40.33
BA,2916104,Itaparica,38.6786111111
BA,2916203,Itapé,39.4211111111
BA,2916302,Itapebi,39.5338888889
BA,2916401,Itapetinga,40.2477777778
BA,2916500,Itapicuru,38.2333333333
BA,2916609,Itapitanga,39.565
BA,2916708,Itaquara,39.9411111111
BA,2916807,Itarantim,40.0655555556
BA,2916856,Itatim,39.6980555556
BA,2916906,Itiruçu,40.1502777778
BA,2917003,Itiúba,39.8536111111
BA,2917102,Itororó,40.0702777778
BA,2917201,Ituaçu,41.2966666667
BA,2917300,Ituberá,39.1491666667
BA,2917334,Iuiú,43.5544444444
BA,2917359,Jaborandi,44.4327777778
BA,2917409,Jacaraci,42.4333333333
BA,2917508,Jacobina,40.5183333333
BA,2917607,Jaguaquara,39.9708333333
BA,2917706,Jaguarari,40.1958333333
BA,2917805,Jaguaripe,38.8955555556
BA,2917904,Jandaíra,37.7844444444
BA,2918001,Jequié,40.0836111111
BA,2918100,Jeremoabo,38.4808333333
BA,2918209,Jiquiriçá,39.5722222222
BA,2918308,Jitaúna,39.8888888889
BA,2918357,João Dourado,41.6644444444
BA,2918407,Juazeiro,40.4986111111
BA,2918456,Jucuruçu,40.1588888889
BA,2918506,Jussara,41.9694444444
BA,2918555,Jussari,39.4952777778
BA,2918605,Jussiape,41.5925
BA,2918704,Lafaiete Coutinho,40.2125
BA,2918753,Lagoa Real,42.1422222222
BA,2918803,Laje,39.425
BA,2918902,Lajedão,40.3447222222
BA,2919009,Lajedinho,40.9055555556
