Sigla,Código,Município,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AL,2705002,Mata Grande,2,1,1,3,1,2,3,5,7,7,,3,5,9,2,5,3,8,9,5,13,10,7,5,7,7,3,7,9
AL,2705101,Matriz de Camaragibe,3,3,4,6,5,3,3,,1,4,4,10,7,11,8,7,14,15,10,8,16,14,17,23,14,13,13,8,12
AL,2705200,Messias,4,6,4,2,7,6,1,2,2,1,,3,9,10,4,17,7,16,10,17,14,12,12,10,9,9,11,7,4
AL,2705309,Minador do Negrão,1,,1,,,,1,,1,,1,,2,1,,1,,1,1,3,,1,,,2,,2,1,
AL,2705408,Monteirópolis,,,1,2,1,,,,1,,3,1,,1,1,2,2,1,1,2,2,1,1,2,,2,,2,2
AL,2705507,Murici,3,4,1,12,8,5,6,,6,7,7,10,9,7,19,12,16,6,11,24,29,39,28,15,20,19,24,9,13
AL,2705606,Novo Lino,3,4,5,3,2,1,2,2,1,4,2,2,4,2,2,4,5,2,2,,4,1,3,8,7,2,4,5,3
AL,2705705,Olho d'Água das Flores,,1,3,5,2,1,,4,6,6,1,5,2,7,11,7,9,5,7,14,11,8,18,6,13,13,6,7,4
AL,2705804,Olho d'Água do Casado,,1,1,1,,,1,,1,,,2,1,2,3,4,2,1,3,2,1,2,4,6,4,2,4,,4
AL,2705903,Olho d'Água Grande,,,1,,,1,,2,1,,,1,,,,2,,1,,,3,1,2,5,4,1,,3,
AL,2706000,Olivença,,,,1,,,,,3,1,1,2,2,1,,4,3,2,4,4,7,2,4,1,4,2,2,1,3
AL,2706109,Ouro Branco,1,1,,,1,1,3,,,1,1,1,2,1,1,1,2,2,,1,3,1,1,6,2,3,4,,3
AL,2706208,Palestina,,,1,,,,,,,,,2,,,,,,1,,1,2,1,3,1,3,,1,,
AL,2706307,Palmeira dos Índios,15,15,22,11,12,10,11,14,15,13,16,18,9,21,27,35,32,23,41,54,48,40,33,46,44,32,34,18,28
AL,2706406,Pão de Açúcar,3,2,4,4,4,3,6,1,7,4,4,6,5,5,2,4,3,6,6,10,6,10,6,7,9,10,3,7,3
AL,2706422,Pariconha,,,,2,,,1,,,,,1,1,,4,,,2,,4,1,,2,1,,1,1,1,
AL,2706448,Paripueira,,2,1,1,1,,3,,,,2,1,5,4,7,5,6,7,5,7,6,4,6,3,9,5,7,8,4
AL,2706505,Passo de Camaragibe,2,1,1,5,1,3,2,,1,,1,3,2,3,7,4,5,4,7,4,5,10,5,7,1,7,3,2,10
AL,2706604,Paulo Jacinto,2,,1,3,2,,1,1,,1,,3,1,1,3,4,2,2,3,12,7,5,6,1,5,2,4,6,3
AL,2706703,Penedo,11,11,12,12,18,16,14,21,13,6,24,25,13,11,14,21,29,36,40,51,29,20,44,38,27,48,22,16,21
AL,2706802,Piaçabuçu,3,4,3,1,1,3,5,6,5,5,6,6,10,6,5,8,9,7,11,12,8,11,24,8,5,14,7,7,7
AL,2706901,Pilar,9,12,7,8,10,7,5,14,6,12,12,19,19,18,20,31,45,27,42,44,45,54,30,25,34,39,34,14,21
AL,2707008,Pindoba,1,1,,1,2,,,,1,2,,,,2,1,1,,1,,,1,,3,,1,,,2,
AL,2707107,Piranhas,5,3,4,6,2,3,3,5,2,2,5,7,5,5,2,9,10,8,20,11,10,13,8,14,14,15,6,7,5
AL,2707206,Poço das Trincheiras,,1,2,,2,,,,3,2,2,1,3,2,1,5,1,4,5,5,6,,4,2,5,2,1,3,4
AL,2707305,Porto Calvo,9,22,20,10,14,12,4,11,4,3,6,13,16,12,15,15,9,4,5,12,10,11,19,18,14,19,16,17,13
AL,2707404,Porto de Pedras,,2,1,,4,1,1,,1,1,1,1,1,,2,2,,,1,1,3,3,5,3,4,4,2,1,2
AL,2707503,Porto Real do Colégio,2,3,3,1,3,3,5,3,6,4,3,4,2,1,6,3,3,9,8,6,8,12,7,6,9,13,4,4,3
AL,2707602,Quebrangulo,1,6,2,1,2,1,3,3,4,1,2,3,1,3,1,1,4,4,6,6,3,4,2,4,4,7,1,3,
AL,2707701,Rio Largo,16,21,17,27,15,13,14,8,9,19,35,47,25,28,52,56,51,33,46,68,83,80,72,54,57,54,61,40,42
AL,2707800,Roteiro,2,6,1,9,4,,,1,1,,,5,3,3,4,2,2,3,4,1,3,8,4,2,7,9,7,3,9
AL,2707909,Santa Luzia do Norte,,1,,,,1,2,,1,,2,1,1,2,3,7,1,3,4,1,3,4,7,3,7,7,5,4,1
AL,2708006,Santana do Ipanema,3,5,5,7,9,6,10,,7,5,2,10,8,15,19,27,17,25,21,34,36,29,40,26,23,23,10,14,11
AL,2708105,Santana do Mundaú,1,1,2,1,,2,2,,3,3,,5,2,8,4,5,4,1,2,2,4,1,5,5,11,4,4,,1
AL,2708204,São Brás,,1,3,,,,1,2,,,,1,3,,1,3,5,1,2,2,1,1,1,2,2,2,2,1,1
AL,2708303,São José da Laje,3,6,6,10,8,3,8,1,6,2,7,7,6,7,10,6,7,14,15,22,18,16,24,19,14,13,7,6,10
AL,2708402,São José da Tapera,1,2,3,3,4,1,9,6,6,5,9,17,5,8,5,14,9,14,16,7,10,18,7,20,18,8,11,12,7
AL,2708501,São Luís do Quitunde,7,3,4,7,7,5,2,2,3,3,1,3,7,5,11,9,6,20,10,14,16,19,10,24,25,18,15,9,24
AL,2708600,São Miguel dos Campos,22,29,8,17,18,26,13,6,11,11,18,14,15,19,20,37,35,37,63,73,52,41,53,39,28,28,26,16,30
AL,2708709,São Miguel dos Milagres,,,2,,,1,,,2,,1,2,1,2,3,1,1,3,,5,1,2,2,2,2,2,5,1,1
AL,2708808,São Sebastião,8,,3,5,3,4,7,6,6,8,6,17,6,12,17,16,24,29,23,19,20,30,26,14,36,19,18,11,23
AL,2708907,Satuba,4,,2,4,3,2,5,,1,6,6,5,6,5,6,9,4,10,7,19,12,26,10,7,9,7,7,7,7
AL,2708956,Senador Rui Palmeira,2,,1,1,,1,1,1,1,,1,2,1,2,7,3,4,2,3,4,5,3,2,2,4,3,1,3,5
AL,2709004,Tanque d'Arca,2,2,1,1,,,,,1,,4,1,1,1,1,1,2,2,,3,,7,4,2,2,3,1,,3
AL,2709103,Taquarana,2,,1,3,4,1,2,1,1,1,3,5,8,5,6,3,3,12,9,13,7,15,8,11,5,3,7,5,14
AL,2709152,Teotônio Vilela,5,3,2,8,2,4,6,4,4,10,12,20,6,14,22,33,42,36,40,28,31,28,34,28,30,43,16,10,15
AL,2709202,Traipu,,1,1,1,1,1,4,2,2,6,2,5,4,4,2,11,12,10,9,11,9,2,7,8,5,6,4,4,9
AL,2709301,União dos Palmares,14,21,10,14,19,12,6,6,8,16,16,22,28,26,52,35,45,41,51,46,33,53,45,48,48,30,15,20,38
AL,2709400,Viçosa,,1,5,3,1,3,4,3,3,2,4,4,2,1,8,10,12,12,10,13,23,10,19,21,10,20,10,9,12
AM,1300029,Alvarães,,,,,,,,2,1,,,,5,1,1,,,,1,,3,1,2,1,,,1,2,1
AM,1300060,Amaturá,,,,,,,,,,,,,1,1,1,,1,,,,4,,1,,,,1,2,
AM,1300086,Anamã,,,,,,,,1,,,,,,,,,,,,1,1,,,,,2,,2,1
AM,1300102,Anori,,,,,,,,1,1,,,,,,1,2,3,2,1,3,,1,,2,2,4,4,1,1
AM,1300144,Apuí,1,,1,1,,4,4,4,3,3,1,1,3,5,6,4,9,3,4,2,5,10,6,5,7,6,12,6,8
AM,1300201,Atalaia do Norte,,,1,1,,,,2,2,,,1,3,1,2,,,2,2,1,2,2,4,,1,1,2,2,1
AM,1300300,Autazes,,,,1,1,,2,1,1,4,5,1,1,2,1,,,1,3,4,6,1,6,11,3,11,8,10,10
AM,1300409,Barcelos,,,,,1,2,,,,,3,2,1,6,4,2,4,3,3,3,35,23,5,18,17,27,18,6,5
AM,1300508,Barreirinha,,,,1,,,,,1,,2,2,,3,2,2,,1,,1,1,2,,1,3,5,2,4,5
AM,1300607,Benjamin Constant,1,,,,,,,1,3,3,1,2,5,1,4,11,3,1,3,4,7,5,7,7,3,12,7,9,11
AM,1300631,Beruri,,1,,1,,,1,,1,,,,,,1,1,1,1,2,2,2,,2,,,1,2,6,3
AM,1300680,Boa Vista do Ramos,,,,,,,,,1,1,,,,1,4,,1,1,2,,2,2,1,2,6,4,1,5,6
AM,1300706,Boca do Acre,,1,2,,2,1,,2,2,3,1,2,2,,,,,3,6,10,5,9,6,6,11,16,19,11,13
